,user_id,bsks
0,0,"[[0, 41, 62, 80, 68, 135, 189, 221, 255, 284, 285, 310, 224, 345], [477, 2081, 2844, 4934], [6291], [7081, 7375, 36], [3976, 2892, 7252, 2257, 7804], [349, 931, 991, 4420, 7531, 989], [3976, 664], [7862, 2652, 991, 4759, 7383, 2178, 555, 8430, 1370, 2503, 608, 8174, 95, 8163, 189, 2112, 7102, 7375, 1136, 8242], [8095, 426, 8226, 7225, 7398, 4539], [4333, 8403, 7845, 7548, 7908, 6806], [5528, 6933, 7013, 5630, 5558, 3724], [1262, 7102, 44, 36, 602, 555, 24, 196, 781], [36, 212, 1609, 798]]"
1,1,"[[1, 35, 203, 173], [840], [564, 2390, 2063, 2131], [3377], [843, 1102, 4302, 3238, 4329, 4886, 163], [249, 7817, 3401], [2131], [1228], [8244, 2715, 4262, 6382, 862, 8331, 336, 7342, 1611, 2131, 1013, 8404, 8180, 6540, 69, 3551, 8195, 8203, 8307], [2104, 7012, 6273, 7426, 1746], [1416], [2715, 2131, 2095]]"
2,2,"[[2, 8, 130, 578], [1893, 1017], [1238], [608, 1708, 1276], [710, 7272, 656, 6681, 1317, 2739, 26, 804, 44, 6791, 3877, 1599], [508], [868, 1756, 656, 2, 1298, 197], [952, 578, 7819], [883, 1243], [6793], [1017, 82, 903], [656, 197], [8074, 578, 1276, 1708], [88], [981, 8074], [8074, 243], [8074, 153, 656, 2103], [82, 956, 4682, 1243, 8074]]"
3,3,"[[3, 32, 33, 43, 81, 90, 101, 103, 112, 147, 154, 161, 173, 200, 208, 210, 212, 286, 24, 311, 340, 344, 367, 224, 591], [3037, 4450], [134, 1927, 1349, 3149, 4731, 909, 4578, 69, 575, 3263, 1746], [3840, 3070, 695, 4981, 24], [44, 638], [7820, 3517], [850, 992, 1605, 359, 785, 1582, 1189, 774, 2172, 6890], [6147, 3489, 1429, 5635, 7700, 5576], [5311, 134], [7860, 6803, 134, 7674], [3542, 3318, 2947, 4038, 272, 8204, 3119, 8233, 134], [8204, 8390, 7110, 8268, 1727, 8271, 864, 8296], [4506, 8430, 134], [290, 5777, 8316, 1429, 4581], [585], [290], [5926, 7252, 1447, 429, 5005, 68, 2516], [2873], [1182], [24]]"
4,4,"[[4, 55, 136, 68, 312, 580], [638], [81, 32, 35], [4686, 708], [7592, 6294, 3320, 5733, 546, 3161, 6163, 3799, 8266, 5807, 1172, 32, 581, 48, 3840, 81, 35, 5058, 1428], [253, 814, 3176, 1428, 160, 7158, 981], [4039, 4836], [7592, 229, 55, 915, 601, 2590, 385], [8521, 483, 2404, 6972], [3161, 1235, 24, 2681, 3204, 44, 4041], [402, 921, 483, 652, 7241, 4651]]"
5,5,"[[5, 24], [124, 1347, 495, 338, 1926], [24, 5947, 22, 5868], [5461, 1418, 5056], [1033, 300, 5721, 1347, 659], [310, 1178, 638, 1044, 44, 135, 5950], [1186], [4446], [1137, 1421], [585, 24], [4458], [495, 1347, 2790, 1179, 1210], [1727], [1179, 5441], [1037], [2394], [3309, 428, 142], [5841, 131, 7897, 1727, 58, 5659], [1681, 1668, 3471], [309, 2417], [142, 4829], [1976], [868, 2357, 1685, 2613], [3073, 7777, 702, 5933, 5339, 114, 2424, 945, 895, 3733, 1485], [5679, 5434], [24, 4825, 4314, 7777], [7680]]"
6,6,"[[6, 63, 139, 182, 77, 276], [389, 36, 2405, 270, 2475, 3818], [4752, 24, 2350, 4169, 110, 224], [1841, 393], [389, 890, 319], [6006, 564, 232, 6432], [6223, 2799, 6039], [3924, 804, 3090, 5885], [8021, 1015, 7110, 7387, 4868], [890, 2197, 6425, 224, 582], [7110, 7817, 2405, 756, 73], [3856, 5100], [2065, 224], [1018], [24, 2481, 8308, 688], [694, 5258, 8323, 241], [8480, 276], [24], [5841, 2065, 394, 66], [3924, 7110, 66, 2405], [2197, 1570], [2659, 24, 736, 3536, 877, 7002, 2945], [82, 3457, 751, 2503, 1414, 1370], [8073, 6185, 7801, 47], [7026, 6245], [241]]"
7,7,"[[7, 10, 30, 48, 137, 145, 184, 206, 211, 217, 218, 273, 280, 298, 339, 343], [552], [1781, 2550, 2481, 971, 3211, 3384], [5335, 652, 618, 56, 971, 958, 647, 1721, 1639, 2661, 83, 213, 253, 81, 1394, 1781, 4008, 3889, 977, 1139, 104, 1089, 2227, 1057], [24, 27, 971, 4450, 3318], [280, 3212, 2415, 433, 3239, 5830], [339, 5043, 1057, 1288, 2227, 971], [971, 104, 5043, 7082, 941, 618, 2201, 1037, 958], [6841], [1781, 1057, 971, 883], [2079, 8030, 971], [991, 2282, 618, 27, 3020, 1057, 43, 1139], [213, 1586, 883, 424, 4779, 971], [618, 971, 625, 883, 24], [8030, 2535, 3211], [343, 4565, 6560, 1057, 941, 971, 618, 4908, 8032, 2546], [5574, 552, 2375, 253], [971, 7128], [3344, 971, 24, 253, 52], [1031, 1598, 618, 7812, 1297], [27, 3020, 2661, 1586, 7777, 5983, 618, 1781, 213], [618, 2179, 24, 253, 44], [2953], [618, 971, 2389], [883, 618]]"
8,8,"[[9, 13, 47, 52, 108, 294, 76, 333, 65, 590], [717, 905, 978, 601, 1097, 1164, 424, 1197], [1391, 4783, 5213], [134, 2635], [1946, 254, 3229, 1097], [3925, 2076, 2625, 2688, 134, 1946], [7175, 267, 2956, 545, 8035, 15], [3233, 7818], [8331], [2887, 181, 25, 313, 2941, 68, 134, 127], [8484, 134], [7268, 3094, 8484], [2273, 3094, 1391], [3934, 2273, 1391, 3945], [416, 2683, 440, 4724, 2273]]"
9,9,"[[11, 25, 106, 235, 329], [4568, 3212, 2684, 7915, 2431, 5805, 6754, 7786], [3507, 3099, 1694, 1968, 1899, 7791, 6355, 521, 525, 820, 1767, 4490, 114, 1972], [673, 3388, 3356], [3330, 363]]"
